year,uniquenest,birdID_male,prov_rate_male,prop_prov_male,birdID_female,prov_rate_female,prop_prov_female,Total_prov_rate,male_age,average_age_male,delta_age_male,female_age,average_age_female,delta_age_female,pairbond,bs,age_difference
2016,52,Roy,0.333333333,57.14285714,Nell,0.25,42.85714286,0.583333333,15,16,-1,15,16,-1,3,2,0
2016,53,Dildo,0.307692308,19.04761905,Cosima,1.307692308,80.95238095,1.615384615,6,7,0.5,6,7,-1,3,3,0
2016,54,Fabius,0.9,47.36842105,Chloe,1,52.63157895,1.9,7,8,-1,8,8,0,1,2,1
2016,55,Hasso,0.8,57.14285714,Cathy,0.6,42.85714286,1.4,6,7,-1,5,6.7,-1.7,3,3,1
2016,56,Danilo,0.8,40,Petunia,1.2,60,2,12,12.5,-0.5,17,17,0,1,3,5
2016,57,Kain,0.6,66.66666667,Milicent,0.3,33.33333333,0.9,8,9,-1,8,9,-1,5,3,0
2016,58,London,1.2,70.58823529,Elfrun,0.5,29.41176471,1.7,6,7,-1,6,6,0,2,3,0
2016,59,Kamil,0.6,46.15384615,Ignazia,0.7,53.84615385,1.3,6,6,0,6,7,-1,1,2,0
2016,60,Bibo,0.6,75,Eleanor,0.2,25,0.8,13,14,-1,13,12.5,0.5,1,2,0
2016,61,Blake,1,76.92307692,Jantje,0.3,23.07692308,1.3,7,8.3,-1.3,6,7,-1,3,1,1
2016,62,Knuckles,0.3,60,Fadila,0.2,40,0.5,4,5.7,-1.7,4,5,-1,1,2,0
2016,63,Pontus,0.2,100,Elmine,0,0,0.2,5,6,-1,4,3.5,0.5,1,1,1
2016,64,Karlson,1.538461538,80,Princess,0.384615385,20,1.923076923,15,16.7,-1.7,8,9.7,-1.7,1,2,7
2016,65,Elijah,2.153846154,75.67567568,Iokaste,0.692307692,24.32432432,2.846153846,8,8,0,8,8,0,3,3,0
2016,66,Forrest,0.090909091,25,Angelina,0.272727273,75,0.363636364,10,9.5,0.5,10,9.5,0.5,3,2,0
2016,67,Abel,0.6,31.57894737,Martha,1.3,68.42105263,1.9,8,9,-1,17,16.5,0.5,1,2,9
2016,68,Cooper,0.9,100,Moni,0,0,0.9,8,7.5,0.5,10,9.5,-0.5,3,3,2
2016,69,Matt,1.2,75,Prosecco,0.4,25,1.6,10,11,-1,9,10,-1,6,3,1
2016,70,Satan,2.6,81.25,Asthma,0.6,18.75,3.2,5,6,-1,4,4.3,0.3,2,2,1
2016,71,Luca,1,71.42857143,Anita,0.4,28.57142857,1.4,6,7,-1,16,17,-1,1,3,10
2016,72,Dudek,0.5,55.55555556,Miranda,0.4,44.44444444,0.9,11,12,-1,10,11,-1,4,3,1
2016,73,Humbert,0.6,66.66666667,Yelka,0.3,33.33333333,0.9,5,6,-1,5,5,0,1,1,0
2016,74,Joringel,1.2,75,Hygienia,0.4,25,1.6,4,4,0,4,4,0,2,3,0
2016,75,Lamar,0.3,60,Tetje,0.2,40,0.5,6,7,-1,6,7,-1,3,2,0
2016,76,Hinnerk,1.083333333,86.66666667,Ludwina,0.166666667,13.33333333,1.25,17,17,0,5,5,0,1,2,12
2016,77,Norbert,1.307692308,73.91304348,Mariella,0.461538462,26.08695652,1.769230769,17,18,-1,13,16.5,-3.5,5,3,4
2016,78,Marek,1,66.66666667,Auguste,0.5,33.33333333,1.5,22,22,0,22,22.5,-0.5,1,2,0
2016,79,Kirk,0.333333333,26.66666667,Aida,0.916666667,73.33333333,1.25,6,7.7,-1.7,16,16,0,3,3,10
2016,80,Belgus,0.272727273,30,Carlotta,0.636363636,70,0.909090909,NA,NA,NA,10,10,0,1,3,10
2016,81,Gabor,0.3,75,Dietrun,0.1,25,0.4,6,6,0,6,6,0,4,3,0
2016,82,Russell,0.727272727,72.72727273,Pinelopi,0.272727273,27.27272727,1,5,6.5,-1.5,6,7.5,-1.5,2,3,1
2016,83,Jerome,0.3,37.5,Lorena,0.5,62.5,0.8,6,7,-1,5,6,-1,2,3,1
2016,84,Charmeur,0.4,66.66666667,Kayley,0.2,33.33333333,0.6,8,8,0,7,8.7,-1.7,1,2,1
2016,85,Ismael,0.8,80,Bea,0.2,20,1,6,7.5,-1.5,17,18,-1,3,2,11
2016,86,Milad,1.181818182,65,Trientje,0.636363636,35,1.818181818,8,9,-1,6,7,-1,2,3,2
2016,87,Willi,1.727272727,65.51724138,Hannah,0.909090909,34.48275862,2.636363636,16,17,-1,10,11,-1,3,3,6
2016,88,Linneus,1.75,84,Indira,0.333333333,16,2.083333333,5,6.5,-1.5,6,7.7,-1.7,1,3,1
2016,89,Sindbad,0.909090909,76.92307692,Jennifer,0.272727273,23.07692308,1.181818182,15,16,-1,17,17,0,1,3,2
2016,90,Larkin,0.8,38.0952381,1V005418,1.3,61.9047619,2.1,11,12.5,-1.5,10,12,-1,1,1,1
2016,91,Basti,0.909090909,66.66666667,Tjördis,0.454545455,33.33333333,1.363636364,9,9,0,8,8,0,3,3,1
2016,92,Armando,0.5,40,Juanita,0.75,60,1.25,16,17,-1,6,6.5,-0.5,3,3,10
2016,93,Calimero,0.9,81.81818182,99Z29707,0.2,18.18181818,1.1,9,10,-1,8,9,-1,1,3,1
2016,94,Olesko,0.6,50,Djamila,0.6,50,1.2,5,6,-1,6,6.5,-0.5,1,3,1
2016,95,Finnegan,0.2,28.57142857,Benita,0.5,71.42857143,0.7,6,7.5,-1.5,6,7.7,-1.7,3,2,0
2017,96,SirDavid,0.5,50,Doro,0.5,50,1,23,22,1,16,16,0,1,1,7
2017,97,Roy,0.6,66.66666667,Nell,0.3,33.33333333,0.9,16,16,0,16,16,0,4,2,0
2017,98,Timothy,0.3,50,Elvira,0.3,50,0.6,17,16.5,0.5,16,22.5,0.5,2,3,1
2017,99,Danilo,0.7,70,u23,0.3,30,1,13,12.5,0.5,NA,NA,NA,0,3,13
2017,100,Linneus,0.8,66.66666667,Indira,0.4,33.33333333,1.2,6,6.5,-0.5,7,7.5,-0.5,2,3,1
2017,101,Bibo,1.3,68.42105263,u24,0.6,31.57894737,1.9,14,14,0,NA,7,0,0,3,14
2017,102,Blake,1.1,45.83333333,Jantje,1.3,54.16666667,2.4,8,8.3,-0.3,7,7,0,4,3,1
2017,103,Lamar,0.3,75,Tetje,0.1,25,0.4,7,7,0,7,7,0,4,2,0
2017,104,Dildo,0.125,25,Cosima,0.375,75,0.5,7,7,-2,7,NA,NA,4,3,0
2017,105,Pontus,0.1,100,u25,0,0,0.1,6,6,0,NA,NA,NA,0,1,6
2017,106,Abel,0.7,63.63636364,u26,0.4,36.36363636,1.1,9,9,0,NA,17,0,0,3,9
2017,107,Luca,0.3,60,Anita,0.2,40,0.5,7,7,0,17,7.5,-0.5,2,1,10
2017,108,Marek,1.2,70.58823529,Auguste,0.5,29.41176471,1.7,23,23,0,22,16.5,-0.5,2,2,1
2017,109,Russell,0.4,50,Pinelopi,0.4,50,0.8,6,6.5,-0.5,7,18,0,3,2,1
2017,110,Ismael,0.6,85.71428571,Bea,0.1,14.28571429,0.7,7,7.5,-0.5,18,12,0,4,2,11
2017,111,Larkin,0.3,75,1V005418,0.1,25,0.4,12,12.5,-0.5,11,6.5,0.5,2,2,1
2017,112,Armando,0.5,71.42857143,Juanita,0.2,28.57142857,0.7,17,17,0,7,7.7,-0.7,4,2,10
2017,113,Finnegan,0.2,100,Benita,0,0,0.2,7,7.5,-0.5,7,6.5,0.5,4,2,0
2017,114,Olesko,0.2,50,Djamila,0.2,50,0.4,6,6,0,7,18,1,2,3,1
2018,115,August ,0.4,50,Lulu,0.4,50,0.8,19,18,1,19,8.5,-0.5,17,2,0
2018,116,Jarvis,2.6,76.47058824,Dilara,0.8,23.52941176,3.4,8,7.3,0.7,8,9,1,3,3,0
2018,117,Hamlet,1.1,68.75,Rihanna,0.5,31.25,1.6,10,9,1,10,16,1,6,1,0
2018,118,Roy,1.2,80,Nell,0.3,20,1.5,17,16,1,17,8.5,-0.5,5,3,0
2018,119,Chio,0.9,30,Elvira,2.1,70,3,7,16.5,0.5,17,6.7,0.3,1,3,10
2018,120,Hasso,1.1,64.70588235,Cathy,0.6,35.29411765,1.7,8,7,1,7,9,2,5,3,1
2018,121,Bibo,1.7,48.57142857,u27,1.8,51.42857143,3.5,15,14,1,NA,9,1,0,3,15
2018,122,Kain,0.5,41.66666667,Milicent,0.7,58.33333333,1.2,10,9,1,10,19,0,7,2,0
2018,123,Fabius,0.7,53.84615385,Carmela,0.6,46.15384615,1.3,9,8,1,19,6.5,1.5,1,2,10
2018,124,Levi,0.375,25,Dorina,1.125,75,1.5,8,6.5,1.5,8,7,1,5,2,0
2018,125,Blake,0.8,88.88888889,Jantje,0.1,11.11111111,0.9,9,8.3,0.8,8,6,0,5,1,1
2018,126,Pius,2.5,69.44444444,Maysa,1.1,30.55555556,3.6,7,7,0,6,NA,NA,4,1,1
2018,127,Rian,1.25,100,u28,0,0,1.25,15,13.3,1.7,NA,NA,NA,0,2,15
2018,128,Kamil,0,0,Ignazia,0.1,100,0.1,8,8,0,8,7,1,0,2,0
2018,129,Nikolas,1.1,73.33333333,Imogen,0.4,26.66666667,1.5,8,6.5,1.5,8,5,1,1,1,0
2018,130,Knuckles,0.8,50,Fadila,0.8,50,1.6,6,5.7,0.3,6,7,1,3,2,0
2018,131,Dildo,0.1,10,Cosima,0.9,90,1,8,7,-1,8,NA,NA,5,1,0
2018,132,London,1.3,72.22222222,u33,0.5,27.77777778,1.8,8,7,1,NA,9,1,0,2,8
2018,133,BigBoss,0.7,58.33333333,Sarina,0.5,41.66666667,1.2,10,8.3,1.7,10,9,1,4,1,0
2018,134,Pontus,0.4,100,u29,0,0,0.4,7,6,1,NA,5.5,-0.5,0,2,7
2018,135,Arno,2.1,77.77777778,Gloria,0.6,22.22222222,2.7,5,5.5,-0.5,5,4,0,3,1,0
2018,136,Hanno,0.75,100,Rosemarie,0,0,0.75,5,5,0,4,7.5,-0.5,0,2,1
2018,137,Ingvar,0.6,60,Viola,0.4,40,1,7,5.5,1.5,7,6.7,1.7,4,1,0
2018,138,Abel,0.4,40,u31,0.6,60,1,10,9,1,NA,NA,NA,0,2,10
2018,139,u32,0.7,70,Ayla,0.3,30,1,NA,NA,NA,18,5.5,1.5,0,3,18
2018,140,Wübbo,1.2,63.15789474,Moira,0.7,36.84210526,1.9,8,8,0,7,4.3,1.7,1,1,1
2018,141,Satan,1,40,Asthma,1.5,60,2.5,7,6,1,6,11,1,4,2,1
2018,142,Dudek,0.7,70,Miranda,0.3,30,1,13,12,1,12,5.5,1.5,6,2,1
2018,143,Waschtl,3.2,91.42857143,Dakota,0.3,8.571428571,3.5,6,6,0,7,10,1,2,3,1
2018,144,Matt,2.8,90.32258065,Prosecco,0.3,9.677419355,3.1,12,11,1,11,6,0,8,1,1
